,0,1
3119,,Peter Sollett
3121,,Bob Dolman
3126,,Greg Coolidge
3129,,David Lowery
3131,Laila Haley,Ciarán Foy
3132,,Salim Akil
3134,,Olatunde Osunsanmi
3136,,Leon Ichaso
3137,Billy Drago,Joseph Zito
3138,Jurnee Smollett-Bell,
3140,David Zayas,
3141,Tina Desai,
3142,,Patricia Rozema
3143,Ben Feldman,
3145,Steve Oedekerk,
3146,Reba McEntire,
3147,,Rob Schmidt
3149,Byron Mann,
3151,Wendi McLendon-Covey,Robert Ben Garant
3152,Harry Styles,Morgan Spurlock
3153,,Neal Brennan
3154,,Tuck Tucker
3157,,Theodore Witcher
3158,,Joel Edgerton
3159,Chase Ellison,Jim Hanon
3162,,Michael Patrick Jann
3167,Jasper Cole,Jorma Taccone
3168,Sophie Okonedo,
3171,,Jeff Lowell
3172,,Lorene Scafaria
3174,Michaela Conlin,
3176,Daniel Sharman,Marcus Dunstan
3177,,Timothy Björklund
3178,Johannes Silberschneider,François Girard
3180,,Scott Kalvert
3181,,Jason Bateman
3182,Dylan Moran,David Schwimmer
3183,Bernadette Peters,Allan Arkush
3185,,Eric Bross
3187,,Dan Fogelman
3188,,Jay Duplass
3189,Flavio Parenti,Luca Guadagnino
3190,Robert Picardo,John Putch
3191,,Peter Medak
3192,Peter Fonda,
3194,Eric Stoltz,Terence Davies
3195,Cliff Robertson,Harley Cokeliss
3196,Scott Mechlowicz,
3197,,Tom Brady
3198,Gillian White,
3199,Eoin Macken,Jason Zada
3201,,Noah Baumbach
3203,Miranda Richardson,
3204,,Eric Blakeney
3208,Naseeruddin Shah,Rakesh Roshan
3211,,Derrick Borte
3212,,Richard Kwietniowski
3213,,Bob Odenkirk
3217,Bashar Rahal,Joshua Seftel
3218,Wei Zhao,
3219,Vincent Gallo,Vincent Gallo
3220,Isabelle Huppert,Claude Chabrol
3221,Numan Acar,Jon Stewart
3222,,Bigas Luna
3223,,Ralph Fiennes
3224,Kip Pardue,Dan Harris
3225,,Mel Smith
3226,,Bobcat Goldthwait
3227,Danny Dyer,
3229,,Jake Scott
3230,,Alan Metter
3232,Jorge Luis Moreno,Rafa Lara
3234,,Arthur Hiller
3235,,Michael Meredith
3236,Adrian Martinez,Julio DePietro
3237,Stephanie Szostak,Katherine Dieckmann
3238,Madison Pettis,
3239,Nicholas Hamilton,Kim Farrant
3241,Drew Fuller,Scott Marshall
3242,Jim Carter,Álex de la Iglesia
3243,Damian Walshe-Howling,Andrew Traucki
3244,,Michael Clancy
3245,Teryl Rothery,
3246,Shane Pollard,Robert Adetuyi
3247,,Kari Skogland
3248,,Taedong Park
3249,Veronica Ferres,
3250,Ingvar Eggert Sigurðsson,Benedikt Erlingsson
3251,Sendhil Ramamurthy,Gurinder Chadha
3252,,Jason Connery
3253,Jimi Mistry,Vic Sarin
3254,,Jim Issa
3255,Kang-ho Song,
3257,Tyler Mane,William Phillips
3259,Danny Pino,Andy Garcia
3261,,Sarik Andreasyan
3263,,Julian Gilbey
3265,,Gary Sherman
3266,Daniella Alonso,Valeri Milev
3267,,Stanley Kramer
3268,Carmen Maura,Pedro Almodóvar
3269,John Vernon,Gerald Potterton
3270,Jizelle Jade,
3273,Bárbara Mori,Anurag Basu
3275,Noah Taylor,Kriv Stenders
3276,,Yash Chopra
3279,,Floria Sigismondi
3280,Topol,
3283,Riccardo Scamarcio,Ferzan Ozpetek
3286,Catherine Hicks,
3287,Michael Moore,
3288,Noel Gugliemi,
3289,,Kris Isacsson
3292,,Ben Younger
3293,Don Ameche,
3295,,Daniel Taplitz
3297,,Tamara Jenkins
3298,,Linda Mendoza
3299,Kristin Lehman,
3301,,Hart Bochner
3303,Ronn Moss,
3304,,Stewart Raffill
3309,Jung-min Hwang,Hong-jin Na
3311,Sarunyu Wongkrachang,Chatrichalerm Yukol
3312,,Dario Argento
3313,Lambert Wilson,Eric Lavaine
3315,Q'orianka Kilcher,Marc Forby
3316,Jacqueline McKenzie,
3318,Lars Mikkelsen,Ole Christian Madsen
3319,,Meiert Avis
3321,,André Téchiné
3322,,Emily Young
3323,,Peter Faiman
3324,,Martyn Pick
3325,,Roland Suso Richter
3326,Harrison Gilbertson,Jeremy Sims
3327,,Maïwenn
3328,,Joby Harold
3329,Dee Bradley Baker,
3330,,Ekachai Uekrongtham
3333,David Keith,Mark Rydell
3334,,David E. Talbert
3335,Jane Fonda,Roger Vadim
3336,Bjørn Sundquist,Nils Gaup
3338,Jacinda Barrett,
3339,,Ari Sandel
3340,Mariah Carey,Vondie Curtis-Hall
3341,Abigail Spencer,Tom Elkins
3342,Yu-mi Jeong,Woo-Suk Kang
3346,Robert Redford,
3347,Mary Elizabeth Mastrantonio,John Sayles
3348,Katrina Kaif,Vipul Amrutlal Shah
3349,Padraic Delaney,Ken Loach
3350,Ranbir Kapoor,Ayan Mukerji
3352,Peter Ustinov,Mervyn LeRoy
3354,Necati Sasmaz,Serdar Akar
3356,,James Frawley
3357,,Dan Gilroy
3359,Eleanor Parker,
3361,,Jonathan Dayton
3362,Marshall Bell,
3363,Noah Huntley,
3364,Jennifer Freeman,Chris Stokes
3365,,Don Siegel
3367,,Martin Lawrence
3369,James Kyson,Masayuki Ochiai
3371,Mackenzie Davis,Tom Gormican
3372,Brian Doyle-Murray,Ken Shapiro
3373,Tina Gilton,Justin Tipping
3375,Telly Savalas,Peter R. Hunt
3376,Nick Wechsler,
3378,Stephen Collins,
3379,,Doug Atchison
3381,,Jonas Elmer
3383,,Mary Harron
3385,,Erik Canuel
3386,,Troy Duffy
3387,Alexandra Maria Lara,
3388,Christopher Nicholas Smith,Nicole Holofcener
3390,,Matty Rich
3392,Cameron Monaghan,
3395,,Fina Torres
3398,,Duke Johnson
3400,,François Ozon
3403,,Anna Boden
3406,,Steve James
3407,Faye Dunaway,Michael Winner
3408,Sean Lennon,Tomm Moore
3409,,John Carney
3410,,David Jacobson
3411,,Michael Corrente
3412,,Edward Hall
3413,,Keith Gordon
3415,Alexia Fast,Andrew Currie
3416,,Andrew Wilson
3418,,Marc Schölermann
3420,,Robert Moresco
3421,,Thomas Vinterberg
3422,Ian Tracey,Claudia Llosa
3423,Mitsuo Iwata,
3425,Stephen McHattie,Charles Binamé
3426,Rachel Ann Mullins,Keith Parmer
3427,Leehom Wang,
3428,Celia Imrie,Ol Parker
3429,Mckenna Grace,
3431,Spencer Wilding,James Nunn
3432,,David Webb Peoples
3433,Scott Takeda,Michael Winnick
3436,Françoise Yip,Stanley Tong
3437,,David Oelhoffen
3439,,Eli Roth
3442,Joely Richardson,Tony Richardson
3444,Molly Parker,
3445,,Charles Robert Carner
3446,Eric Johnson,Russell Holt
3449,Sandrine Kiberlain,Claude Miller
3451,,Sacha Bennett
3453,,Rodrigo García
3454,Akon,Jeta Amata
3455,Saif Ali Khan,Siddharth Anand
3456,,Vincent Paronnaud
3458,Max Riemelt,Dennis Gansel
3460,,Daniel Barber
3462,George Coe,Robert Marcarelli
3464,Darren Shahlavi,Ernie Barbarash
3465,,Guy Hamilton
3467,Michael Nouri,
3471,Sullivan Stapleton,
3474,,Adam Brooks
3482,,Michael Anderson
3485,MyAnna Buring,
3486,,Don Kempf
3487,,Matt Bettinelli-Olpin
3489,Sid Haig,
3491,Kimberly Elise,
3495,Bernard Fox,Sharron Miller
3496,Michael Stuhlbarg,
3497,,Aaron Schneider
3500,,Tom Ford
3501,Irvin Kershner,
3502,Jonathan Brandis,
3503,Indira Varma,
3504,Roy Billing,
3506,Michael J. Pollard,Tony Maylam
3507,Melinda Clarke,
3508,,Mitch Davis
3513,,Kevin Brodie
3516,Ezra Miller,Lynne Ramsay
3517,Samantha Barks,John Stephenson
3518,,Tim Chambers
3521,,Dick Richards
3523,Nathalie Fay,
3524,Geoff Stults,Bob Gosse
3525,,Alex Zamm
3526,,Spencer Susser
3529,,Thaddeus O'Sullivan
3531,Lynn Cohen,Shari Springer Berman
3532,Leonid Yarmolnik,Aleksey German
3533,,Stephen Milburn Anderson
3534,,Richard E. Grant
3536,Michael Wong,David Lam
3538,Erin Fitzgerald,Vladlen Barbe
3539,Debi Derryberry,Richard Rich
3541,Ben Browder,Robert C. Cooper
3544,Gordon Pinsent,Kim Nguyen
3545,Rex Baker,Jackie Earle Haley
3546,Heike Makatsch,Max Färberböck
3547,,Arie Posin
3548,Glenn Plummer,Damian Nieman
3549,,Mark Tonderai
3550,Lubna Azabal,
3551,Laura Morante,
3552,,Ian Fitzgibbon
3555,Deborah Mailman,Rachel Perkins
3556,John Cothran,
3557,,Luis Valdez
3558,Rita Moreno,Alan Alda
3559,Angie Dickinson,
3562,Greg Germann,
3563,David Wayne,
3564,Leon,Louis Morneau
3565,Merab Ninidze,Caroline Link
3568,Emily Podleski,Sterling Van Wagenen
3569,,Zal Batmanglij
3571,,Hans Petter Moland
3572,,Oren Moverman
3573,,Ian Sharp
3576,Florian Lukas,Wolfgang Becker
3578,Linnea Quigley,Dan O'Bannon
3579,Maria Pia Calzone,
3581,Olivia Newton-John,
3583,Osama bin Laden,
3584,Katharine Ross,George Roy Hill
3585,Ed Wynn,Robert Stevenson
3588,,Jerome Robbins
3590,,Gary Hardwick
3593,Lisa Wilcox,
3596,,King Vidor
3599,Tisha Campbell-Martin,
3600,,Fred Savage
3601,Sammo Kam-Bo Hung,Sammo Kam-Bo Hung
3606,,Rusty Cundieff
3608,,Dominique Othenin-Girard
3610,,Jean-Jacques Mantello
3612,,Risa Bramon Garcia
3613,,Brian Klugman
3614,,Matt Piedmont
3615,,Raymond De Felitta
3616,,John Michael McDonagh
3617,,Deb Hagan
3620,Hugh M. Hefner,Zach Cregger
3621,,Zach Braff
3622,,Mark Tarlov
3623,Francis Capra,
3624,John Cameron Mitchell,John Cameron Mitchell
3625,Antoni Corone,
3626,Rachel Alig,Jon Knautz
3628,Chelcie Ross,David Atkins
3629,,Patrick Stettner
3630,William Holden,Sam Peckinpah
3632,Lesley-Anne Down,Michael Crichton
3634,Michael Berryman,Sylvio Tabet
3635,,Rick Bieber
3636,Benoît Magimel,
3639,,Joey Lauren Adams
3640,James Nesbitt,
3641,,Fred Zinnemann
3642,,S.R. Bindler
3643,Noam Chomsky,
3644,,Greg Marcks
3645,Catherine Bell,Perry Lang
3646,Pruitt Taylor Vince,Jake Goldberger
3649,Drew Waters,William Kaufman
3651,Debbie Harry,
3652,,Cédric Klapisch
3653,,Kate Barker-Froyland
3655,Yorick van Wageningen,Martin Koolhoven
3656,,Charles Matthau
3657,Jeanne Moreau,
3658,,Christopher M. Bessette
3659,,Prachya Pinkaew
3660,,Gary Sinyor
3661,Simon Bird,
3664,Wesley Jonathan,
3665,Asin,Ashish R. Mohan
3666,Jonathan D. Mellor,
3667,Kayla Jackson,
3669,Alice Krige,
3670,,Darren Grant
3672,,Joseph Gordon-Levitt
3676,Stephen Macht,William Sachs
3677,Jean-Baptiste Maunier,Christophe Barratier
3678,,Émile Gaudreault
3679,Alexis Dziena,James Cox
3680,Ruby Dee,
3681,,James Toback
3682,Jean-Pierre Léaud,Aki Kaurismäki
3683,Philippe Nahon,
3684,Lindsay Kay Hayward,Hitoshi Matsumoto
3685,Anupam Kher,Rakeysh Omprakash Mehra
3686,Kim Shaw,Collin Schiffli
3687,,George Ratliff
3689,,Shane Meadows
3690,Aksel Hennie,
3691,Russell Tovey,Jon Wright
3692,Campbell Scott,Michael McGowan
3693,,Liv Ullmann
3694,Teresa Wright,
3695,Abhishek Bachchan,Rohan Sippy
3698,,Dan Trachtenberg
3700,,David F. Sandberg
3701,Johanna Braddy,
3702,,Stiles White
3703,John Saxon,
3705,Eugenio Derbez,Eugenio Derbez
3706,Matt Shively,
3707,,Henry Koster
3708,Burt Kwouk,
3710,,Patty Jenkins
3712,Richard Cabral,Christopher Landon
3715,,David Gelb
3717,James Lafferty,Mike Flanagan
3720,,Nat Faxon
3721,William Schallert,George Jackson
3722,Tony Bonner,
3723,,Maurice Joyce
3724,John Beasley,Robert Duvall
3725,,Frank Perry
3726,,Jesse Peretz
3728,,Ice Cube
3733,,Richard Glatzer
3734,Gene Tierney,Michael Curtiz
3735,,Bruce Malmuth
3736,Kane Hodder,Rob Hedden
3738,,Harmony Korine
3739,,Joe Chappelle
3740,Maribel Verdú,
3741,Peter Serafinowicz,
3742,Jessica Lowndes,Mickey Liddell
3745,,Fred Walton
3747,,Steve Carver
3748,Warren Christie,Gonzalo López-Gallego
3749,,Christine Jeffs
3750,Sterling Jerins,
3751,Vanna Bonta,Don Coscarelli
3752,Gina Lollobrigida,
3753,Fred Willard,Michael Tiddes
3754,,Bill Duke
3755,Gary Cooper,Frank Borzage
3757,Lara Jill Miller,Mamoru Hosoda
3758,,Brian Dannelly
3759,Marie-Josée Croze,Denys Arcand
3760,Robert Shaw,
3761,Brendan Fehr,J.S. Cardone
3763,Fran Drescher,Jay Levey
3764,,Nicholaus Goossen
3766,Claudia Cardinale,
3770,Norbert Ferrer,Ronan Chapalain
3772,,Xavier Beauvois
3773,,Randall Miller
3774,Cassandra Peterson,Jerry Belson
3777,,Dan Rush
3778,Kim Dickens,
3780,Dana Delany,
3781,,Michael Cuesta
3783,,Fenton Bailey
3784,Alia Shawkat,Jeremy Saulnier
3785,Liza Minnelli,Billy Kent
3786,,James Manera
3787,Andrew Wilson,
3789,Akshaye Khanna,Feroz Abbas Khan
3790,Jeffrey Frost,Errol Morris
3791,Raymond Burr,Dennis Hopper
3792,,Eli Craig
3793,,Nicholas Fackler
3794,Judith Anderson,Richard Wallace
3795,,Morgan J. Freeman
3796,Meghan Ory,Matthew Hastings
3797,Ocean James,
3798,Mike Figueroa,
3799,,Klaus Menzel
3801,Glenn Campbell,Oren Peli
3802,Luis Tosar,
3803,Dave Legeno,Paul Andrew Williams
3806,,Jim Amatulli
3808,,William H. Macy
3809,,Barrett Esposito
3811,Teri Polo,
3813,James Frain,Vicky Jewson
3814,David Huddleston,
3815,,Marc Bennett
3816,David Raizor,Mike Mayhall
3818,Mikal Vega,Stanton Barrett
3819,Julia Jentsch,Jirí Menzel
3820,Udo Kier,Fatih Akin
3822,,Nick Murphy
3825,Katy Mixon,
3826,Alex Rocco,Frank LaLoggia
3827,,Jeremy Brock
3828,,Scott Foley
3829,Bill Johnson,
3832,,Christophe Ali
3833,Maria Conchita Alonso,Gabriela Tagliavini
3834,Bhama,Shekar
3835,,Shona Auerbach
3836,Keith Carradine,Leonard Farlinger
3837,Sara Forestier,Michel Leclerc
3838,,Analeine Cal y Mayor
3839,,Tom Kalin
3840,William Kircher,Robert Sarkies
3842,Brooke Shields,
3845,Royal Dano,John Huston
3847,Dan Fogler,
3850,Dana Andrews,Walter Lang
3851,Mía Maestro,Carlos Saura
3853,Alex Kendrick,Andrew Erwin
3855,Jaime Camil,Beto Gómez
3856,Jan Decleir,Mike van Diem
3857,,Jonas Åkerlund
3858,Rich Pecci,Todd Solondz
3860,Nicolas Giraud,René Féret
3861,,Barry Skolnick
3862,Simon Yam,Johnnie To
3863,,Mateo Gil
3864,Oksana Akinshina,Lukas Moodysson
3865,,Agnieszka Wojtowicz-Vosloo
3866,Jimmy Shergill,Kabir Sadanand
3868,Katherine McNamara,Peter DeLuise
3869,Sid Caesar,
3870,Nimrat Kaur,Raja Menon
3873,,Nick Love
3875,Fabian Bolin,
3877,Vidya Balan,R. Balki
3878,Yangzom Brauen,Ivan Engler
3885,Art Hindle,
3886,Julian Richings,
3887,Judith O'Dea,
3890,Gloria Grahame,Cecil B. DeMille
3893,,Henry Hobson
3894,,Mike Figgis
3895,Molly C. Quinn,Duane Journey
3897,,Billy Wilder
3901,,Lisa Cholodenko
3902,Meg Foster,
3903,,John Sturges
3904,Marlee Matlin,William Arntz
3905,,Ed Gass-Donnelly
3906,Ellar Coltrane,
3909,Angell Conwell,DJ Pooh
3912,Montgomery Clift,
3914,,James Melkonian
3916,Geraldine Chaplin,
3917,Ashley Rickards,
3918,,Roger Avary
3919,Roscoe Lee Browne,
3921,,Allison Anders
3923,,Rick de Oliveira
3926,,Jeff Franklin
3928,,Mike Mills
3929,Anna Gunn,
3930,Stephanie Leonidas,Dave McKean
3931,Collin Alfredo St. Dic,Ron Fricke
3932,,Ruggero Deodato
3933,,Gavin Wiesen
3934,,Mora Stephens
3935,,Mars Callahan
3937,Kylie Minogue,Leos Carax
3939,Peter McNamara,Stefan Schwartz
3941,Lauren Ambrose,Robert Lee King
3943,Hector Kotsifakis,Jorge Ramírez Suárez
3944,Noah Emmerich,
3946,Rachel Griffiths,
3948,,Dan Ireland
3949,,Fernando León de Aranoa
3950,Connor Paolo,Jim Mickle
3951,Doug Brochu,
3953,,Karim Aïnouz
3954,,Sam Levinson
3955,Ed Speleers,
3957,,Aleksandr Veledinskiy
3958,,Peter H. Hunt
3959,Saad Siddiqui,Ruba Nadda
3960,Jean Harlow,Howard Hughes
3961,,Edward Burns
3962,Lily Rabe,
3963,Robin McLeavy,Sean Byrne
3964,Kristen Quintrall,
3965,Eric Mabius,Mark Griffiths
3966,Rachel Hendrix,Bruce Macdonald
3970,Hattie McDaniel,Victor Fleming
3971,Tom Cullen,Richard Raymond
3973,,Alan Jacobs
3974,Keenan Wynn,George Sidney
3975,Kayvan Novak,Christopher Morris
3976,Fernanda Montenegro,Andrucha Waddington
3977,,Peter Stebbings
3978,Gladys Cooper,Vincente Minnelli
3979,Alice Olivia Clarke,Dagur Kári
3983,Brenda Vaccaro,
3985,Peter Graves,Jim Abrahams
3986,,Kevin Carraway
3989,Ta'Rhonda Jones,
3990,,Michael Gornick
3991,Slim Pickens,
3992,John Forsythe,Richard Brooks
3993,Colleen Dewhurst,
3995,Bernard Cribbins,
3996,,Robert Eggers
3997,Joe Estevez,Michael Martin
3998,John Mahoney,
4000,Ricardo Darín,
4002,Gideon Emery,Gideon Raff
4003,Ted Raimi,
4004,Wanda Sykes,Louis C.K.
4005,,Anthony C. Ferrante
4006,Elpidia Carrillo,Salvador Carrasco
4007,Otto Jespersen,André Øvredal
4008,,Robert Cary
4010,,Adam Rapp
4012,Diahann Carroll,Warren P. Sonoda
4013,,Amanda Gusack
4014,,Avi Nesher
4016,,Charles Adelman
4017,,Jay Oliva
4018,Jane Goodall,Charles Ferguson
4020,,Mark Young
4021,Chris Brochu,Daniel Petrie Jr.
4022,,Antonio Simoncini
4024,,Luc Jacquet
4026,Murray Bartlett,Eldar Rapaport
4027,,Clark Gregg
4028,,Damien Chazelle
4030,,Justin Kerrigan
4031,Corbin Bleu,Nathan Frankowski
4032,,Karen Moncrieff
4033,Thomas Bo Larsen,
4035,Armando Riesco,
4036,Roddy McDowall,
4037,,Jennifer Finnigan
4038,,Eric Styles
4039,François Bégaudeau,Laurent Cantet
4041,Lee Marvin,John Ford
4042,,Max Mayer
4043,Catalina Sandino Moreno,Joshua Marston
4045,,John Gulager
4047,Honor Blackman,
4048,Sarah Gadon,Brandon Cronenberg
4049,Donna Reed,Frank Capra
4052,Sprague Grayden,Tod Williams
4056,Clu Gulager,Jack Sholder
4058,Rhys Wakefield,
4059,Danielle Kotch,
4060,Nancy O'Dell,
4061,Burl Ives,
4062,Linda Harrison,Ted Post
4064,Veronica Taylor,Kunihiko Yuyama
4065,,Tom McLoughlin
4068,Ed Lauter,
4069,Fred MacMurray,
4070,,Adam Marcus
4071,Tamara Toumanova,
4073,,John Maclean
4075,,Benny Boom
4076,Shirley Jones,
4077,Maximilian Schell,
4079,Matthew Senreich,
4080,,Howard Hawks
4081,,Nnegest Likké
4082,Seamus Davey-Fitzpatrick,
4083,John Astin,Christopher Leitch
4084,Angus Scrimm,
4086,,Patricia Cardoso
4088,John Abraham,
4089,,Damien O'Donnell
4090,Callie Thorne,Peter M. Cohen
4093,Peter Ostrum,Mel Stuart
4094,,Anthony Hickox
4095,Kristy Swanson,Tom Schulman
4097,,Jill Sprecher
4098,,Darren Stein
4100,Greta Gerwig,
4103,Eddie Griffin,
4106,Robyn Lively,David Nixon
4107,,Jason Eisener
4108,Kevin Pollak,Enrique Begne
4109,,Matthew Bright
4110,William Morgan Sheppard,Michael Landon Jr.
4111,,Andrea Arnold
4112,,Whit Stillman
4114,,Leslye Headland
4116,,Bobby Roth
4117,Michael Gross,Tim Heidecker
4119,Susan Hampshire,
4120,Alicja Bachleda,
4121,Johnny Pacar,Kate Connor
4122,Matt Cohen,Deon Taylor
4123,,Jason Alexander
4125,,Conor McPherson
4126,,Will Canon
4127,Neil Hopkins,Philip Zlotorynski
4129,,Lance Kawas
4130,Tom Everett Scott,Francesca Gregorini
4131,John Savage,Marcio Garcia
4133,French Stewart,Craig Moss
4134,,Michael Jai White
4136,,Paolo Monico
4137,,Youssef Delara
4138,,Darin Scott
4139,,Christian Sesma
4140,Everett McGill,Monte Hellman
4142,,Brian Caunter
4143,,Chris D'Arienzo
4145,Ann-Margret,
4146,Anthony L. Fernandez,Isaac Florentine
4147,Dyan Cannon,Susan Seidelman
4148,Olivia Rose Keegan,
4149,Greg Crowe,Heidi Ewing
4151,Cécile De France,
4152,Maeve Dermody,Leon Ford
4153,,Hank Braxtan
4154,Isaac Hayes,
4155,Nehemiah Persoff,
4156,,John Carl Buechler
4157,Margaret Hamilton,
4159,Megan Park,
4160,,Rajkumar Hirani
4161,,Victor Nunez
4162,Teri Garr,
4163,Bhavkhandan Singh Rakhra,Rohit Jugraj
4164,Iben Hjejle,Thorbjørn Christoffersen
4166,Rijk de Gooyer,Alex van Warmerdam
4167,Spencer Tracy,
4169,Judie Aronson,
4170,Joanna Kulig,Pawel Pawlikowski
4171,Rupert Graves,
4172,,Frank Sebastiano
4174,Gerry Lopez,Stacy Peralta
4175,Karra Elejalde,Nacho Vigalondo
4176,Jack Kao,Hao Ning
4177,Brianna Brown,Tony Giglio
4178,,Stanley Donen
4179,Joe Cross,Joe Cross
4180,Essence Atkins,
4181,Barack Obama,Dinesh D'Souza
4184,Tom Atkins,Tommy Lee Wallace
4185,,Don Taylor
4186,Patricia Neal,
4187,David Jason Perez,Leslie Small
4190,Hanno Pöschl,
4191,Patrick Huard,Éric Tessier
4192,,Alison Maclean
4193,Joan Chen,Alice Wu
4194,Satish Kaushik,Sarah Gavron
4196,,Isabel Coixet
4197,,James Ponsoldt
4199,Bill Maher,
4200,,Joshua Tickell
4201,,Tim Boxell
4203,,Michael D. Sellers
4204,Dustin Lance Black,Reed Cowan
4205,,James Dodson
4206,Benno Fürmann,
4207,Leonor Varela,Alex Rivera
4209,Ashley Scott,John Murlowski
4210,,Benni Diez
4211,,Danny Perez
4213,,Robby Henson
4214,Anthony 'Citric' Campos,
4215,Simon Merrells,Zackary Adler
4217,,Dominic Burns
4218,Esther Williams,
4219,Jossara Jinaro,Carmen Marron
4221,Agnes Moorehead,
4223,,Jason Stone
4224,,Jerry Rees
4225,Leopold Stokowski,
4227,Nicole Smolen,Jaco Booyens
4228,Richard Brooker,
4229,Tiffany Helm,Danny Steinmann
4231,,Jon Gunn
4232,Brian Austin Green,Hayley Cloake
4233,Jessica Tandy,Tay Garnett
4234,,Shyam Madiraju
4235,Saeed Jaffrey,Harmage Singh Kalirai
4236,,Rita Merson
4237,Rachel Skarsten,
4238,Myrna Loy,William Wyler
4239,,Larry Clark
4240,Jørgen Langhelle,Petter Næss
4241,Michael Derek,Robert Fontaine
4242,Manuela Velasco,
4244,Travis Myers,Dan Perri
4245,Walter Hendrix III,Neil Mcenery-West
4246,James Ransone,Anthony O'Brien
4248,Phoebe Legere,Michael Herz
4249,Carroll O'Connor,
4251,Maika Monroe,David Robert Mitchell
4253,,Robert Mulligan
4254,Vernon Wells,
4255,,Chia-Liang Liu
4257,Alicia Goranson,
4258,Eric Sheffer Stevens,Chris Kentis
4260,Ben Davies,Alex Kendrick
4261,,Robert Rossen
4262,Hedy Lamarr,Jack Conway
4263,Michel Robin,Sylvain Chomet
4264,Michael Greyeyes,Chris Eyre
4266,Vernon Dobtcheff,
4267,Adriana Barraza,
4269,,Elia Kazan
4270,,Debra Granik
4271,Nicholas Aaron,
4272,Tyrone Power,Henry King
4273,Najarra Townsend,Miranda July
4275,Vanessa Lengies,Max Joseph
4276,Henry Silva,Jim Jarmusch
4280,Kathleen Wilhoite,Kevin Tenney
4281,Stephen Colbert,
4283,Sook-Yin Lee,
4284,Ari Folman,Ari Folman
4285,Noah Danby,Gary Rogers
4287,,Marielle Heller
4289,John F. Kennedy,David Sington
4290,,Kelly Reichardt
4292,Danny Aiello,Bob Giraldi
4293,Alanna Ubach,
4294,Matt Bennett,Huck Botko
4296,,David Duchovny
4297,Jess Weixler,Mitchell Lichtenstein
4298,Jeffrey Falcon,Lance Mungia
4299,Karisma Kapoor,Kundan Shah
4300,Paul Kaye,
4301,,Hue Rhodes
4305,,Jugal Hansraj
4306,,Danny Provenzano
4307,,Bill Muir
4309,Merritt Wever,Noah Buschel
4310,,Brian Yuzna
4311,,Hunter Richards
4312,Brad William Henke,Laurie Collyer
4314,Jordi Vilasuso,Aaron Hann
4317,,Phil Claydon
4318,Rapulana Seiphemo,Ralph Ziman
4319,,John Simpson
4320,Mackenzie Gray,Colin Minihan
4321,Peter McQuinn,Conor McMahon
4322,Daniel Baldwin,Chris Shadley
4323,Alice Cooper,Simon Napier-Bell
4325,Paul Sheehan,Simon Yin
4326,,Jeff Crook
4327,Steven Weber,
4328,Rita Hayworth,Orson Welles
4329,Mircea Monroe,Dave Payne
4332,Sunil Narkar,Brad Copeland
4333,Kate Maberly,Paul Bunnell
4334,,Phil Morrison
4335,,Harald Reinl
4336,Jon Mack,
4337,Buster Keaton,
4339,,Tanner Beard
4340,Trenton Rostedt,Scott Dow
4341,,Derick Martini
4342,Melissa Bolona,Jerry Dugan
4343,,Tim Hunter
4345,Paul McGillion,
4347,,Richard Ayoade
4348,Khalid Abdalla,Jehane Noujaim
4349,Karl E. Landler,Pascal Arnold
4351,Lauren Gottlieb,Remo
4353,Paul McGill,
4354,Siobhan Marshall,John Laing
4355,Logan Browning,Jamal Hill
4356,Caleb Landry Jones,Daniel Stamm
4360,Damián Alcázar,Carlos Carrera
4361,,Benh Zeitlin
4362,,J. Lee Thompson
4363,,Maggie Greenwald
4364,Donna Murphy,Vera Farmiga
4365,Hansika Motwani,Vijay Chandar
4367,,Jonathan Wacks
4368,Tshewang Dendup,Khyentse Norbu
4370,Humphrey Bogart,
4371,George Newbern,Tony Krantz
4372,Kimberley Crossman,Mitchell Altieri
4373,,W.D. Hogan
4374,Christian Keyes,Corey Grant
4376,James Duval,Lucky McKee
4377,,Richard Boddington
4378,Matthew Alan,David Hunt
4382,Sarah Butler,Steven R. Monroe
4383,Ally Walker,Mark Illsley
4385,Nawazuddin Siddiqui,Ritesh Batra
4386,,Sally Potter
4387,Jean Arthur,
4389,Harry Carey Jr.,
4390,Shawnee Smith,Brad J. Silverman
4391,,Dave Meyers
4392,,David M. Matthews
4393,Yasmine Al Massri,Nadine Labaki
4394,,Lluís Quílez
4395,Ohad Knoller,Eytan Fox
4397,Annabelle Wallis,Romesh Sharma
4398,,François Truffaut
4399,,Adam Goldberg
4400,Dustin Ingram,Travis Zariwny
4402,Lew Temple,Adrienne Shelly
4403,,Newt Arnold
4406,William Baldwin,
4407,Scott Cohen,
4409,Matthew Ziff,
4410,Norman Lloyd,
4414,,Alex Cox
4415,,Fabián Bielinsky
4416,Ami Ayalon,Dror Moreh
4417,Beau Bridges,Rebecca Miller
4418,Donald Glover,Maggie Carey
4420,,Henry Bean
4422,Ward G. Smith,Simeon Rice
4423,Paul Guilfoyle,
4424,Jessy Schram,Jeff Garlin
4425,,Qasim Basir
4426,Joel David Moore,Adam Green
4427,Paulette Goddard,Charles Chaplin
4428,,Pete Jones
4429,,Bruce Campbell
4431,Jay Mohr,Adam Carolla
4433,Brian Lee Franklin,
4434,,Bruce McDonald
4435,,James Mottern
